id	KL_value
2497	-12.27024748615456
2498	-47.12404810157473
2499	-10.3676407743228
2500	-38.138917269109385
2501	-41.550938870751835
2502	-38.063973761133
2503	-24.052307666706387
2504	-21.17840678477115
2505	-42.99630825471033
2506	-16.34267343949362
2507	-34.34511353990484
2508	-2.8530490333048784
2509	-63.09092571279111
2510	-27.368869064071166
2511	-39.252213283344915
2512	-20.61999327466741
2513	-46.91020382969609
2514	-31.76230837125322
2515	-25.70306024089949
2516	-34.18747956246729
2517	-46.38849243720532
2518	-9.556536668333473
2519	-40.220128899147255
2520	-12.425185063897137
2521	-14.514986907533542
2522	-45.47040226109837
2523	-23.281361968349845
2524	-19.346224650852186
2525	-30.05211759067721
2526	-8.776355924712375
2527	18.400704195642525
2528	-28.29101600438486
2529	-16.30115186485306
2530	-53.8721909011241
2531	-19.653675178642683
2532	-34.22765094132495
2533	-38.60043905462607
2534	-22.838269434213057
2535	-12.909904725508493
2536	-15.191837032071051
2537	-27.21023640723632
2538	-68.11815474766624
2539	-39.694938523173846
2540	-25.78096434783407
2541	-24.832967481283323
2542	-37.29231359380135
2543	-61.21280394606731
2544	-38.22643981281207
2545	-38.0681867572586
2546	-44.42184996243193
2547	-36.24553238472845
2548	-54.52201953395428
2549	-38.86820081980723
2550	-31.75152206884507
2551	-56.66460960801021
2552	-40.56911308440358
2553	-49.38225770570856
2554	-45.28244082616031
2555	9.637056883602156
2556	-33.88068916194021
2557	-40.39287640383839
2558	-36.60147653952953
2559	-27.127201892846546
2560	10.761083691182701
2561	-17.45724511676561
2562	-52.8424251132293
2563	-35.92424253075527
2564	-16.265548006009904
2565	-39.26873099481828
2566	-34.30651682956347
2567	-25.81126017521151
2568	-26.595806400501708
2569	-58.904606028238405
2570	-58.358830325501
2571	-31.092452867997945
2572	-40.405661018329106
2573	-22.84172976042208
2574	-11.040136309540248
2575	-36.22269055472335
2576	-26.724547243725272
2577	-47.500252598850494
2578	-13.958472109836125
2579	-66.78962399917745
2580	-36.921136741984014
2581	-23.673143233794192
2582	-0.4976383453765081
2583	-51.15313935557977
2584	-56.8659638745055
2585	-28.041793729296117
2586	-53.895879003609096
2587	-52.42372626298993
2588	-46.54585460202268
2589	-15.486124691785344
2590	-16.810309681982567
2591	-37.66534358155816
2592	-38.12695997456237
2593	-10.271001346987742
2594	-14.339777566430298
2595	-22.670638120355676
2596	-46.10888866828664
2597	-7.118325339211481
